Transaction,Item,date_time,period_day,weekday_weekend
fb10df87-2698-41b3-ae5d-6a78d7a1dcfb,{'Bread'},1477817880,morning,weekend
813e100f-63dc-4aea-a7c1-960fd1cd2a8d,{'Scandinavian'},1477818300,morning,weekend
19558cc8-72c8-4b55-93a2-38dde7975f5a,"{'Muffin', 'Cookies', 'Jam', 'Hot chocolate'}",1477818480,morning,weekend
ada50f2c-ede1-4eda-b1ef-28ff08a01885,"{'Pastry', 'Bread', 'Coffee'}",1477818780,morning,weekend
4f9c890e-881e-4c5a-a39e-2620d754fc97,"{'Muffin', 'Pastry', 'Medialuna'}",1477818960,morning,weekend
0d84ce53-af6d-422d-8f98-3f8a341f1818,"{'Muffin', 'Bread', 'Coffee', 'Tea', 'Medialuna', 'Pastry'}",1477819260,morning,weekend
ed40e111-2e2a-4b6d-a09c-2c83114f829f,"{'Medialuna', 'Scandinavian'}",1477819500,morning,weekend
bd8ee68d-db37-4ea5-82c8-ceb03310529a,"{'Medialuna', 'Bread'}",1477819620,morning,weekend
9235c9c9-827b-45bb-ba72-93ab48816236,"{'Coffee', 'Tea', 'Basket', 'Medialuna', 'Jam', 'Bread', 'Pastry', 'Tartine'}",1477819920,morning,weekend
59a0bcc7-a136-4f1e-955d-fff360c9b926,"{'Scandinavian', 'Mineral water'}",1477820040,morning,weekend
3124ede0-a969-4a42-9752-9e74628f16e9,"{'Medialuna', 'Coffee', 'Hot chocolate', 'Bread'}",1477820280,morning,weekend
67aba152-b8b7-472d-ad9e-a026010625db,{'Farm House'},1477820460,morning,weekend
4b9bec83-dda7-4be5-9e36-8d6f33602a04,"{'Farm House', 'Bread'}",1477820580,morning,weekend
fc82fa4d-1a0c-43fb-8f79-42208529dc1c,"{'Medialuna', 'Bread'}",1477820700,morning,weekend
997d3b95-7d76-4134-95ac-c7d93825383e,"{'Medialuna', 'Bread', 'Coffee'}",1477820940,morning,weekend
12d6d273-cf72-47d9-9224-d19e40db4496,"{'Scandinavian', 'Fudge', 'Bread', 'Muffin', 'Jam'}",1477821360,morning,weekend
8fb3b90d-1b4a-4120-89d8-ce94c8e47865,"{'Scandinavian', 'Bread', 'Coffee'}",1477821780,morning,weekend
4d60943c-d6bd-4fff-b61f-c91a48874c86,"{'Jam', 'Bread'}",1477821900,morning,weekend
e7809cf3-3663-4ccb-b4bb-676f11f2f31c,{'Bread'},1477822020,morning,weekend
0600345c-18d0-4c29-acc3-d597d7544648,{'Basket'},1477822320,morning,weekend
79288602-62f4-40d9-a0f7-c1bef4943ff1,"{'Muffin', 'Scandinavian'}",1477822560,morning,weekend
267e5740-f518-44d6-a98a-d7e7d1037e32,{'Coffee'},1477822920,morning,weekend
f4037766-3ec3-4f72-9378-1a78da815613,"{'Muffin', 'Coffee'}",1477823100,morning,weekend
f139bd13-a794-4443-883f-58f3742e593e,"{'Muffin', 'Scandinavian'}",1477823220,morning,weekend
0bc38a45-6062-4296-b32a-1f682967c877,"{'Tea', 'Bread'}",1477823580,morning,weekend
d8f13e0c-b826-4996-adce-03ad0b493929,"{'Bread', 'Coffee'}",1477823820,morning,weekend
98a94f28-fb2c-441e-8794-d3c1ffe15343,"{'Tea', 'Bread'}",1477824120,morning,weekend
ada53fd1-d4ed-4ed6-8b41-6ca616e6fe40,{'Scandinavian'},1477824240,morning,weekend
acea3fd4-2b25-4e70-893c-4338c4cbb43f,"{'Muffin', 'Juice', 'Tartine', 'Coffee'}",1477824900,morning,weekend
2dc9394d-b4bf-4d9c-99e1-c6575283bf0a,"{'Tea', 'Scandinavian', 'Bread'}",1477825020,morning,weekend
785268f2-4ebf-496d-84e9-011a310c32b0,"{'Scandinavian', 'Fudge'}",1477825200,afternoon,weekend
07ba8387-3435-489c-9cb2-0709a2d89041,"{'Medialuna', 'Coffee'}",1477825500,afternoon,weekend
616723dc-4fc2-44db-a18a-ebdc6573a93c,"{'Medialuna', 'Hot chocolate', 'Coffee'}",1477825740,afternoon,weekend
92a1eae0-24c8-4c57-90ec-4a8179f13f46,"{'Juice', ""Ella's Kitchen Pouches"", 'Bread', 'Muffin', 'Jam'}",1477826100,afternoon,weekend
42f22ad0-aff8-47df-93c8-5b23d2079836,{'Coffee'},1477826220,afternoon,weekend
fad55e84-65ef-4ff8-9b40-ecaae7faf373,"{'Medialuna', 'Coffee'}",1477826580,afternoon,weekend
8de627a8-2b1e-43e7-ac52-7cbb23c000c2,"{'Victorian Sponge', 'Bread'}",1477826760,afternoon,weekend
b8a4a2b5-c113-447a-bc8d-e99ee17672fc,{'Scandinavian'},1477826880,afternoon,weekend
d9b9c91f-0e1c-47d7-9cfe-eb8f1e283543,{'Bread'},1477827180,afternoon,weekend
93b95426-340f-4acc-98ac-c50e2e4fa967,"{'Hearty & Seasonal', 'Coffee', 'Tea', 'Frittata'}",1477827540,afternoon,weekend
a95fe26e-0e6c-4569-be9b-bfde08aa4997,{'Scandinavian'},1477827900,afternoon,weekend
